id,template_id,mobility_exercise_id,name,area,video_url,prescription,position,session_index,created_at
8c953770-54ec-440a-9751-a09924c7023b,8b949d27-0f69-438e-bc5d-5d3442020699,d9ba36f3-d52e-4a60-845a-ce1912737d07,Alongamento das panturrilhas,,https://www.youtube.com/watch?v=kc2glDjeNfQ,3 séries de 30 segundos cada lado,0,1,2026-06-07 13:11:47.719604+00
dab92385-9957-43ae-9cf2-ace91726eced,8b949d27-0f69-438e-bc5d-5d3442020699,e2d63b75-7344-4f49-a558-9f76268fbac5,Rotação de quadril 90/90,,https://www.youtube.com/shorts/Xuhq_NaXATA,2 séries de 8 repetições cada lado,1,1,2026-06-07 13:12:16.420091+00
c24fed9d-2e0c-4880-80e3-379b5922e5e1,8b949d27-0f69-438e-bc5d-5d3442020699,f4653b9c-b8f6-4c93-82a8-f659aa635bdf,Posição de cócoras,,https://www.youtube.com/shorts/j7s0Hy1_f44,2 séries de 45 segundos,2,1,2026-06-07 13:12:32.79816+00
8bda0d56-94a8-4cb2-b7b1-2c5a0d18f981,8b949d27-0f69-438e-bc5d-5d3442020699,ed4cd372-5708-4d32-ad61-ce4a3e8bc440,Alongamento dos isquiotibiais deitado,,https://www.youtube.com/shorts/8XWt1NjdW0I,3 séries de 20 segundos cada lado,0,2,2026-06-07 13:13:47.301663+00
71de2912-d2f2-49d6-a03d-068e316d968b,8b949d27-0f69-438e-bc5d-5d3442020699,c7a4381d-524d-4b29-b208-5907202f206a,Alongamento dos flexores de quadril,,https://www.youtube.com/shorts/AITDdx1M1ds,3 séries de 20 segundos cada lado,1,2,2026-06-07 13:13:56.846789+00
4f2bfd01-6166-456c-aa01-1264cb89a152,8b949d27-0f69-438e-bc5d-5d3442020699,31d33dbf-9953-4a29-9b15-498ede6916f0,Mobilidade Torácica - Extensão com Rolo,,https://www.youtube.com/shorts/rlV2c_KaEzY,3 séries de 5 repetições com 5 segundos de isometria,0,3,2026-06-07 13:15:25.004575+00
ac1511d9-9585-4960-b0cb-5d4ee2b0628d,8b949d27-0f69-438e-bc5d-5d3442020699,d4846264-5882-446a-904a-c8f34a9f9a69,Cat-cow,,https://www.youtube.com/shorts/2of247Kt0tU,2 séries de 12 repetições,1,3,2026-06-07 13:16:04.060224+00
7197fbcb-5987-4d4f-9c0e-937d91490668,8b949d27-0f69-438e-bc5d-5d3442020699,d7d74c23-ef2a-46a6-b973-d6443c2ed67a,Rotação Externa de ombro com bastão,,https://www.youtube.com/shorts/yoH8a4tr6vs,3 séries de 15 segundos cada lado,2,3,2026-06-07 13:16:23.374484+00
23670608-a314-4b91-aecb-478e3031fd80,8b949d27-0f69-438e-bc5d-5d3442020699,694641db-a4d4-4d90-8905-e9094e997fc7,Alongamento do peitoral,,https://www.youtube.com/shorts/X1jtWUNYqKY,3 séries de 20 segundos cada lado,0,4,2026-06-07 13:17:07.5244+00
abd827b0-f7ce-447e-ac43-5f05c2f5e8e2,8b949d27-0f69-438e-bc5d-5d3442020699,3448a03b-f71c-445c-81a5-5314f5e7b589,Mobilidade torácica e alongamento das dorsais,,https://www.youtube.com/shorts/BNxQ7zTggo0,3 séries de 15 segundos,1,4,2026-06-07 13:17:42.134165+00
